Data,Previsao_Confirmados
2024-06-30,-17.330173860260203
2024-07-31,2.190399644571727
2024-08-31,19.665963839166025
2024-09-30,31.768871150441772
2024-10-31,40.397790265169704
2024-11-30,45.47750430236409
2024-12-31,52.77316051289028
2025-01-31,88.9425778689618
2025-02-28,527.6404039563729
2025-03-31,1389.6838638621439
2025-04-30,714.6112858133095
2025-05-31,167.51201106989686
2025-06-30,67.71154281516255
2025-07-31,56.500556492823456
2025-08-31,59.46736151526847
2025-09-30,63.07287323711164
2025-10-31,66.23971748627791
2025-11-30,69.09386558992068
2025-12-31,75.3598440434317
2026-01-31,103.02769939702124
2026-02-28,464.254912689568
2026-03-31,1152.6725405094455
2026-04-30,671.6075931929538
2026-05-31,143.4041663199491
2026-06-30,73.0323881790036
2026-07-31,72.77404131255125
2026-08-31,80.90660796688624
2026-09-30,87.53677297457203
2026-10-31,92.64810064972802
2026-11-30,96.29277385479011
2026-12-31,102.92367420430085
2027-01-31,133.62883269358247
2027-02-28,522.5503762679401
2027-03-31,1273.038073505331
2027-04-30,722.6153568129178
2027-05-31,187.65640714323638
2027-06-30,106.76375196069561
2027-07-31,102.58974470864175
2027-08-31,108.87549059104168
2027-09-30,114.42430358233776
2027-10-31,118.8404545843849
2027-11-30,122.20249924156676
2027-12-31,128.7029298578676
2028-01-31,158.32225251519725
2028-02-29,537.3431315331608
2028-03-31,1265.6409170166205
2028-04-30,740.0134439702979
2028-05-31,207.4695773500554
2028-06-30,130.33811121227666
2028-07-31,127.5639432685255
2028-08-31,134.50992313916902
2028-09-30,140.44531686844115
2028-10-31,145.1099918576133
2028-11-30,148.5730755191569
2028-12-31,155.12014873141703
2029-01-31,185.12765521327628
2029-02-28,567.6879993488299
2029-03-31,1303.9186279665867
2029-04-30,769.426911526385
2029-05-31,236.01965818783356
