Real,Previsto
9,68.6552278841773
1,0.0
3,0.0
835,78.85313476104784
2,0.0
1,35.506196531387104
6,14.706487584157003
1,1.8639641926565673
6,85.91322413734088
1,38.442066435218294
1,44.135194657970715
16,1.662016595910245
1,10.201708930038876
1,0.0
1,5.494982679174427
1,57.17966564621747
3,0.0
2,47.27301215854459
7,62.37959288302591
3,28.535412947549048
5,0.0
6,38.93526742116228
5,0.0
2,39.428468407106266
1,75.22211627452634
25,27.459705183206097
14,54.33310153484126
2,24.81508866857257
2,27.168451794004795
392,89.54424262386237
1,0.0
1,23.04423232153931
46,0.0
85,96.60433200015541
3,46.981758769346925
2,18.3375060706785
5,0.0
1,0.0
1,11.770617680325813
19,42.07308492173979
9,26.877198404803494
2,39.92166939305025
1,0.0
5,59.03982778570571
2,22.259777946397662
1,40.79542956065052
1,0.0
2,0.0
6,0.0
71,0.0
9,54.535049131587584
3,21.18407018205471
1,49.33512189477915
9,59.82428216084736
6,26.092744029661844
13,101.31105825101986
1,0.0
2,0.0
7,102.8799670013068
7,13.922033209015353
4,32.16643143406691
426,81.99095226162171
4,13.137578833870066
64,0.0
5,58.25537341056042
6,17.059850709589227
3,51.19528403426739
21,69.43968225931894
6,13.832727416560374
3,9.999761333296192
3,0.0
3,24.03063429343092
466,81.20649788647643
6,43.84394126876941
6,52.96614038129701
